Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
1;2021-06-15 09:00:00;2020-06-01;VR21;Brabant-Noord;61;1
1;2021-06-15 09:00:00;2020-06-02;VR21;Brabant-Noord;282;11
1;2021-06-15 09:00:00;2020-06-03;VR21;Brabant-Noord;435;6
1;2021-06-15 09:00:00;2020-06-04;VR21;Brabant-Noord;387;12
1;2021-06-15 09:00:00;2020-06-05;VR21;Brabant-Noord;371;6
1;2021-06-15 09:00:00;2020-06-06;VR21;Brabant-Noord;351;4
1;2021-06-15 09:00:00;2020-06-07;VR21;Brabant-Noord;264;5
1;2021-06-15 09:00:00;2020-06-08;VR21;Brabant-Noord;410;7
1;2021-06-15 09:00:00;2020-06-09;VR21;Brabant-Noord;382;1
1;2021-06-15 09:00:00;2020-06-10;VR21;Brabant-Noord;398;8
1;2021-06-15 09:00:00;2020-06-11;VR21;Brabant-Noord;386;12
1;2021-06-15 09:00:00;2020-06-12;VR21;Brabant-Noord;368;3
1;2021-06-15 09:00:00;2020-06-13;VR21;Brabant-Noord;325;3
1;2021-06-15 09:00:00;2020-06-14;VR21;Brabant-Noord;217;0
1;2021-06-15 09:00:00;2020-06-15;VR21;Brabant-Noord;409;7
1;2021-06-15 09:00:00;2020-06-16;VR21;Brabant-Noord;493;4
1;2021-06-15 09:00:00;2020-06-17;VR21;Brabant-Noord;483;5
1;2021-06-15 09:00:00;2020-06-18;VR21;Brabant-Noord;467;3
1;2021-06-15 09:00:00;2020-06-19;VR21;Brabant-Noord;429;4
1;2021-06-15 09:00:00;2020-06-20;VR21;Brabant-Noord;276;1
1;2021-06-15 09:00:00;2020-06-21;VR21;Brabant-Noord;163;1
1;2021-06-15 09:00:00;2020-06-22;VR21;Brabant-Noord;434;4
1;2021-06-15 09:00:00;2020-06-23;VR21;Brabant-Noord;433;3
1;2021-06-15 09:00:00;2020-06-24;VR21;Brabant-Noord;298;3
1;2021-06-15 09:00:00;2020-06-25;VR21;Brabant-Noord;360;3
1;2021-06-15 09:00:00;2020-06-26;VR21;Brabant-Noord;334;1
1;2021-06-15 09:00:00;2020-06-27;VR21;Brabant-Noord;290;3
1;2021-06-15 09:00:00;2020-06-28;VR21;Brabant-Noord;221;3
1;2021-06-15 09:00:00;2020-06-29;VR21;Brabant-Noord;267;1
1;2021-06-15 09:00:00;2020-06-30;VR21;Brabant-Noord;542;5
1;2021-06-15 09:00:00;2020-07-01;VR21;Brabant-Noord;405;3
1;2021-06-15 09:00:00;2020-07-02;VR21;Brabant-Noord;501;5
1;2021-06-15 09:00:00;2020-07-03;VR21;Brabant-Noord;382;1
1;2021-06-15 09:00:00;2020-07-04;VR21;Brabant-Noord;254;3
1;2021-06-15 09:00:00;2020-07-05;VR21;Brabant-Noord;154;0
1;2021-06-15 09:00:00;2020-07-06;VR21;Brabant-Noord;292;2
1;2021-06-15 09:00:00;2020-07-07;VR21;Brabant-Noord;441;1
1;2021-06-15 09:00:00;2020-07-08;VR21;Brabant-Noord;449;0
1;2021-06-15 09:00:00;2020-07-09;VR21;Brabant-Noord;478;1
1;2021-06-15 09:00:00;2020-07-10;VR21;Brabant-Noord;422;3
1;2021-06-15 09:00:00;2020-07-11;VR21;Brabant-Noord;351;1
1;2021-06-15 09:00:00;2020-07-12;VR21;Brabant-Noord;188;1
1;2021-06-15 09:00:00;2020-07-13;VR21;Brabant-Noord;311;1
1;2021-06-15 09:00:00;2020-07-14;VR21;Brabant-Noord;497;1
1;2021-06-15 09:00:00;2020-07-15;VR21;Brabant-Noord;481;2
1;2021-06-15 09:00:00;2020-07-16;VR21;Brabant-Noord;439;1
1;2021-06-15 09:00:00;2020-07-17;VR21;Brabant-Noord;544;0
1;2021-06-15 09:00:00;2020-07-18;VR21;Brabant-Noord;491;1
1;2021-06-15 09:00:00;2020-07-19;VR21;Brabant-Noord;368;2
1;2021-06-15 09:00:00;2020-07-20;VR21;Brabant-Noord;342;3
1;2021-06-15 09:00:00;2020-07-21;VR21;Brabant-Noord;519;2
